"read_count(G)"	"read_count(NW)"	"read_count(S)"	"logFD:NW vs G"	"logFD:S vs G"	"logFD:S vs NW"	"FDR:NW vs G"	"FDR:S vs G"	"FDR:S vs NW"
"PdomMRNA10574.1"	793.4	1010.4	590.75	0.935642412986417	NA	NA	0.020444659614972	NA	NA
"PdomMRNA05876.1"	63	164	58.5	2.83151018088133	NA	NA	0.020444659614972	NA	NA
"PdomMRNA01203.1"	1010.4	409.4	448.25	-0.742877080697575	NA	NA	0.0204537333492743	NA	NA
"PdomMRNA00435.1"	1041.8	429.2	531.75	-0.792280098116474	NA	NA	0.0205118500546142	NA	NA
"PdomMRNA08929.1"	1193	1340.4	897	0.777935648367	NA	NA	0.0205294032414417	NA	NA
"PdomMRNA02076.1"	958.4	410.6	549	-0.752323087046856	NA	NA	0.0209909175911613	NA	NA
"PdomMRNA06097.1"	1255.6	1260.2	953.25	0.700160024751733	NA	NA	0.0210617246340898	NA	NA
"PdomMRNA05222.1"	43912.6	20594.6	23715.75	-0.597518909923835	NA	NA	0.02107682774553	NA	NA
"PdomMRNA01226.1"	2570.4	1181.6	1400.25	-0.727231852491041	NA	NA	0.0213379618528822	NA	NA
"PdomMRNA10150.1"	40.6	74.6	26	1.84829667744026	NA	NA	0.021726171614347	NA	NA
"PdomMRNA03981.1"	183.4	45.8	83.25	-1.58703706827387	NA	NA	0.0219801069769716	NA	NA
"PdomMRNA11103.1"	1707.6	2467.2	2092	1.74597993585567	NA	NA	0.0223719073688847	NA	NA
"PdomMRNA09673.1"	90	184.4	150.25	1.64145703688007	NA	NA	0.0224027225393878	NA	NA
"PdomMRNA04243.1"	18	39.2	27.75	2.11992993064466	NA	NA	0.0224027225393878	NA	NA
"PdomMRNA02543.1"	76	10	35.75	-2.57803726079864	NA	NA	0.0227986307440364	NA	NA
"PdomMRNA02521.1"	3458	3347.2	2709.75	0.538652509075688	NA	NA	0.0228178889245349	NA	NA
"PdomMRNA09376.1"	6769.2	6273.8	5530.25	0.554907926779177	NA	NA	0.0242246524512788	NA	NA
"PdomMRNA09983.1"	1269.2	285.8	688.25	-1.42416071472802	NA	NA	0.0248573000377457	NA	NA
"PdomMRNA08377.1"	1376.4	405.2	440.25	-1.44759399640271	NA	NA	0.0248573000377457	NA	NA
"PdomMRNA05667.1"	7287.8	3515	3524	-0.562713952007208	NA	NA	0.0271052642974745	NA	NA
"PdomMRNA08700.1"	4070.6	1873.8	2181.75	-0.669612207988267	NA	NA	0.0274321868680566	NA	NA
"PdomMRNA07909.1"	2217	2238	2042.25	0.594767726749173	NA	NA	0.0274321868680566	NA	NA
"PdomMRNA07518.1"	2805.6	1223.8	1529.25	-0.555863413120635	NA	NA	0.0274321868680566	NA	NA
"PdomMRNA04745.1"	940.8	377.2	503.5	-0.918402412244132	NA	NA	0.0284391059486934	NA	NA
"PdomMRNA03650.1"	2742	2667.8	2208	0.700992014750916	NA	NA	0.0284391059486934	NA	NA
"PdomMRNA04461.1"	878.4	950	618	0.846908159449827	NA	NA	0.0285125017270114	NA	NA
"PdomMRNA06373.1"	1075.2	1092	944.75	0.650609078873514	NA	NA	0.0285125017270114	NA	NA
"PdomMRNA09998.1"	1378.4	2009.8	1441	0.97208288730635	NA	NA	0.0285125017270114	NA	NA
"PdomMRNA04227.1"	72.6	5	31	-3.06317372355213	NA	NA	0.0285125017270114	NA	NA
"PdomMRNA04685.1"	1423.2	1399.4	1251.5	0.601643863972816	NA	NA	0.0285125017270114	NA	NA
"PdomMRNA06595.1"	1753	1640.2	1473.25	0.57789324899803	NA	NA	0.0288152989779534	NA	NA
"PdomMRNA09086.1"	1846.6	676.2	1041.5	-0.989175128347687	NA	NA	0.0288152989779534	NA	NA
"PdomMRNA08594.1"	83.2	20.6	35.5	-1.72267524231767	NA	NA	0.0289849004377806	NA	NA
"PdomMRNA07516.1"	145.6	5.6	55.5	-4.52102678305668	NA	NA	0.0289954832425811	NA	NA
"PdomMRNA09328.1"	104.8	150.6	135	1.15529773674271	NA	NA	0.0296924877376473	NA	NA
"PdomMRNA06993.1"	2440.2	2484.4	2358.75	0.694319054936174	NA	NA	0.0300157834684739	NA	NA
"PdomMRNA00505.1"	3113.8	489.8	972.25	-2.19717720580722	NA	NA	0.0300982515472847	NA	NA
"PdomMRNA10096.1"	705.2	719.4	696.5	0.723865417919639	NA	NA	0.0300983298639342	NA	NA
"PdomMRNA03883.1"	135.8	176	166.75	1.31790504477855	NA	NA	0.0303729578334586	NA	NA
"PdomMRNA06119.1"	1236.4	1249.8	1192.25	0.599641715114857	NA	NA	0.0306469531852284	NA	NA
"PdomMRNA08504.1"	3566.6	1631	1527.5	-0.665742239297514	NA	NA	0.030750809581097	NA	NA
"PdomMRNA02954.1"	1641	1546.8	1390.5	0.584127372674646	NA	NA	0.0310628512621286	NA	NA
"PdomMRNA05962.1"	2114.8	2272.2	2067.25	0.886746819857352	NA	NA	0.0311815024055877	NA	NA
"PdomMRNA02248.1"	2267.8	1101.6	1356.75	-0.546094179057882	NA	NA	0.0311815024055877	NA	NA
"PdomMRNA06504.1"	721.8	166	730.25	-1.41473477373601	NA	1.70233632721081	0.0311815024055877	NA	0.0254921348645178
"PdomMRNA08048.1"	1036	440.4	543	-0.722311564505976	NA	NA	0.0314220516721998	NA	NA
"PdomMRNA00046.1"	136.4	199	150.5	1.30727677607543	NA	NA	0.0320575330503313	NA	NA
"PdomMRNA06444.1"	7160	3198.2	4805.5	-0.71261183198299	NA	NA	0.0320575330503313	NA	NA
"PdomMRNA06390.1"	181.8	244.2	182.5	1.18594394190197	NA	NA	0.0320575330503313	NA	NA
"PdomMRNA04453.1"	1438.8	624.8	582.5	-0.763156996517765	NA	NA	0.0327852087289632	NA	NA
"PdomMRNA08547.1"	3077.8	3092.2	3099.75	0.719428370612641	NA	NA	0.0327852087289632	NA	NA
"PdomMRNA02414.1"	2435.6	1062.8	1277.75	-0.680682579966048	NA	NA	0.0331901325699589	NA	NA
"PdomMRNA06711.1"	180	243.6	183.75	1.21788225755557	NA	NA	0.0331901325699589	NA	NA
"PdomMRNA04850.1"	1596.4	1459.8	1380.5	0.625638482048263	NA	NA	0.0331901325699589	NA	NA
"PdomMRNA06819.1"	10547.6	10745.8	9258.5	0.539927166893754	NA	NA	0.0331901325699589	NA	NA
"PdomMRNA04415.1"	9602.2	4098.8	5620.75	-0.737542908045155	NA	NA	0.0334077633781795	NA	NA
"PdomMRNA07408.1"	320.4	375.2	255.5	0.820420035315199	NA	NA	0.0336508672914564	NA	NA
"PdomMRNA02925.1"	10405.8	4533.6	5364.75	-0.754959786833894	NA	NA	0.0337481306837908	NA	NA
"PdomMRNA00553.1"	7963.2	3444	4409.5	-0.804851890306479	NA	NA	0.0339518494606757	NA	NA
"PdomMRNA10130.1"	1664.2	710.4	869	-0.684153518038061	NA	NA	0.0347098635276041	NA	NA
"PdomMRNA01182.1"	3661	1730	2333	-0.670955378151438	NA	NA	0.0347886766497406	NA	NA
"PdomMRNA06935.1"	5753.4	5310.8	4656.5	0.586784419490968	NA	NA	0.0349347967622474	NA	NA
"PdomMRNA05863.1"	99.2	11.4	47	-2.9079692679343	NA	NA	0.0354167586651424	NA	NA
"PdomMRNA11052.1"	20.4	54	38	1.84665711516148	NA	NA	0.0354167586651424	NA	NA
"PdomMRNA05738.1"	1808.2	1753.4	1448.75	0.679990815449124	NA	NA	0.0373098256016108	NA	NA
"PdomMRNA02445.1"	2586.8	1188.8	1255.25	-0.639636282041531	NA	NA	0.0373391065646882	NA	NA
"PdomMRNA02919.1"	201.8	14.2	105.25	-3.52603344365456	NA	NA	0.0373391065646882	NA	NA
"PdomMRNA09696.1"	1770.2	1707.2	1590.75	0.534297068764597	NA	NA	0.0377165029157788	NA	NA
"PdomMRNA04224.1"	2762.6	651.6	1461.25	-1.67720901957565	NA	NA	0.0388726654774195	NA	NA
"PdomMRNA05224.1"	5987.2	2069.4	6838.75	-1.04520306178511	NA	1.95721650577347	0.0397596944296167	NA	7.58516177996722e-06
"PdomMRNA04061.1"	564.2	196.8	294.25	-1.22696255441558	NA	NA	0.0397596944296167	NA	NA
"PdomMRNA05787.1"	100.6	253.2	179.75	1.75899076871216	NA	NA	0.0398865923793091	NA	NA
"PdomMRNA01251.1"	1150.4	2711	638	1.88814987966601	NA	-2.4022581582866	0.0401875077775649	NA	0.0388713304070353
"PdomMRNA08235.1"	49987.6	22046.4	25572.5	-0.580539922015724	NA	NA	0.0401875077775649	NA	NA
"PdomMRNA06801.1"	1119.2	1146	962.5	0.706485322695604	NA	NA	0.0407322416769424	NA	NA
"PdomMRNA04987.1"	2712.6	2504.2	2376.25	0.598514857561118	NA	NA	0.0411956686704751	NA	NA
"PdomMRNA04205.1"	5342.8	4875.2	4418	0.472844695533909	NA	NA	0.0411956686704751	NA	NA
"PdomMRNA01649.1"	137262.4	43468.4	73253.5	-1.17909496023595	NA	NA	0.0417504684905012	NA	NA
"PdomMRNA03372.1"	1345.6	502.2	793.25	-0.793289711478434	NA	NA	0.0419660866191941	NA	NA
"PdomMRNA07056.1"	1370.2	1374	1326.5	0.615211831459036	NA	NA	0.0422125951117013	NA	NA
"PdomMRNA04496.1"	465.2	117.4	370.75	-1.40977807484065	NA	1.87798635156237	0.0422394372809917	NA	0.0114029549060826
"PdomMRNA07417.1"	868.6	857.4	715.5	0.590940593285964	NA	NA	0.0422394372809917	NA	NA
"PdomMRNA06153.1"	476	542	498	0.707585350059857	NA	NA	0.0422394372809917	NA	NA
"PdomMRNA05687.1"	4902.4	2495	3138.5	-0.475977966637683	NA	NA	0.0422394372809917	NA	NA
"PdomMRNA01095.1"	561.6	598.6	384.75	0.722133864801647	NA	NA	0.0422394372809917	NA	NA
"PdomMRNA07213.1"	2293	2703	2205.75	1.02274501850752	NA	NA	0.042402003294215	NA	NA
"PdomMRNA03200.1"	5320.8	2069.8	2112.75	-0.981494970519187	NA	NA	0.042402003294215	NA	NA
"PdomMRNA02931.1"	11964	11707.8	10240.75	0.520126586169586	NA	NA	0.0424136913061736	NA	NA
"PdomMRNA02178.1"	1334	618	629.25	-0.717275324557845	NA	NA	0.0424136913061736	NA	NA
"PdomMRNA08043.1"	8551.4	3675.2	4632.75	-0.780148589286105	NA	NA	0.0441619452227028	NA	NA
"PdomMRNA00389.1"	33.2	50	42.25	1.53325101327576	NA	NA	0.0442194314497348	NA	NA
"PdomMRNA05029.1"	1005.2	962.4	1020.25	0.758905752814531	NA	NA	0.0442778244522499	NA	NA
"PdomMRNA10085.1"	1221.2	521.2	624	-0.715441305751301	NA	NA	0.0443375583302552	NA	NA
"PdomMRNA03356.1"	1486	673.6	706.25	-0.686382586385746	NA	NA	0.0443375583302552	NA	NA
"PdomMRNA07982.1"	10455.6	9744.8	8919.75	0.51317959740028	NA	NA	0.0444773295085283	NA	NA
"PdomMRNA07653.1"	209.8	250.4	164.75	1.11469671735333	NA	NA	0.0451237294578977	NA	NA
"PdomMRNA06302.1"	1196.4	480.6	879	-0.848741021769839	NA	NA	0.0454784411888625	NA	NA
"PdomMRNA00260.1"	24.8	107.8	119.25	2.82957641712378	NA	NA	0.0456879440860776	NA	NA
"PdomMRNA10281.1"	212.2	62.6	85	-1.16342814211781	NA	NA	0.0456879440860776	NA	NA
"PdomMRNA07131.1"	824.6	898	777	0.715133128460689	NA	NA	0.0459008679581368	NA	NA
"PdomMRNA08506.1"	5967.2	2516.8	3086.75	-0.832662953323824	NA	NA	0.0459008679581368	NA	NA
"PdomMRNA06846.1"	727.2	298.6	394.25	-0.74555530745672	NA	NA	0.0462823777875435	NA	NA
"PdomMRNA02367.1"	266.4	321.2	248.75	0.933052021594713	NA	NA	0.0468658464995636	NA	NA
"PdomMRNA01425.1"	50	8.6	43.75	-2.3274115710596	NA	2.82348895500593	0.0477242570001813	NA	0.0409223693854989
"PdomMRNA04507.1"	21006	19452.6	19140	0.669249348557315	NA	NA	0.0477242570001813	NA	NA
"PdomMRNA06876.1"	8619.4	3827.4	5443.25	-0.598946761696705	NA	NA	0.0484230425721747	NA	NA
"PdomMRNA01362.1"	437.8	472.8	403	0.803337506875566	NA	NA	0.0484528485192836	NA	NA
"PdomMRNA09905.1"	6207	2586.8	2820.25	-0.661585180791914	NA	NA	0.0484708561891341	NA	NA
"PdomMRNA10399.1"	2367	2383	1990	0.626229379525822	NA	NA	0.0486182506992127	NA	NA
"PdomMRNA00357.1"	5575.8	5906.4	5356	0.954428632029786	NA	NA	0.0488452592887552	NA	NA
"PdomMRNA02294.1"	132.2	19	15	-2.258103166206	NA	NA	0.0491484144758932	NA	NA
"PdomMRNA05746.1"	1892	1812.8	1557.5	0.65533647869536	NA	NA	0.0492671904571385	NA	NA
"PdomMRNA01240.1"	305.8	440	246	1.12518948097205	NA	NA	0.0492837415172568	NA	NA
"PdomMRNA06627.1"	194.6	49.4	70.75	-1.57381843600553	NA	NA	0.0493285698485716	NA	NA
"PdomMRNA06776.1"	597	659.8	390.75	0.869350019097551	NA	NA	0.0496630532867745	NA	NA
"PdomMRNA05217.11"	158.4	49.2	3495.25	NA	NA	6.70561101059779	NA	NA	1.54018359770077e-21
"PdomMRNA08564.11"	78.8	33.2	1288.25	NA	NA	5.95173276941988	NA	NA	1.06128369034783e-10
"PdomMRNA03651.11"	18.4	36	1776.25	NA	NA	6.34034754140892	NA	NA	1.66468783954637e-10
"PdomMRNA10701.11"	3569.2	1867.8	6493.25	NA	NA	2.10309062661848	NA	NA	7.31686123682353e-09
"PdomMRNA10031.11"	4012.4	2218.4	10559.5	NA	NA	2.61422641440245	NA	NA	7.68156252357114e-07
"PdomMRNA03614.1"	3204.8	698.6	8769.5	NA	NA	3.52154071640962	NA	NA	3.84392374394712e-06
"PdomMRNA05601.11"	4587	1382.8	6882	NA	NA	2.70990052329196	NA	NA	5.51997951600933e-06
"PdomMRNA09202.11"	1728.4	1383.6	4855.25	NA	NA	2.08904922129709	NA	NA	7.58516177996722e-06
"PdomMRNA09869.1"	1444.8	631	1659	NA	NA	1.35784062360628	NA	NA	0.000293737584470745
"PdomMRNA03404.1"	1977.8	1059.6	2467	NA	NA	1.27041488613082	NA	NA	0.000402365147113715
"PdomMRNA05769.11"	1148.6	1351	5775.75	NA	NA	2.03176523483013	NA	NA	0.000421993721905036
"PdomMRNA02023.11"	1259.8	677.6	2758.25	NA	NA	2.41251744260919	NA	NA	0.000498696249376462
"PdomMRNA05094.11"	1178.2	871.8	2152.5	NA	NA	1.2114602731043	NA	NA	0.000856870397509203
"PdomMRNA10284.1"	71	17.6	179.75	NA	NA	3.45766097232891	NA	NA	0.00112347834254077
"PdomMRNA00028.11"	8480.6	4310.6	9861.75	NA	NA	1.21053679589426	NA	NA	0.00113959943901067
"PdomMRNA06888.1"	8952	4572	8127.5	NA	NA	0.782072361745438	NA	NA	0.00257915853858601
"PdomMRNA06924.11"	2369	1292	2645.75	NA	NA	1.25749135990964	NA	NA	0.00318496014048864
"PdomMRNA00574.11"	3874.6	2822	8658.5	NA	NA	1.87771890335429	NA	NA	0.00435927302422979
"PdomMRNA01375.11"	676.6	420	1307.5	NA	NA	2.0083644330558	NA	NA	0.00632183412977009
"PdomMRNA03330.11"	123.2	101.6	452.25	NA	NA	2.48417863530652	NA	NA	0.00632183412977009
"PdomMRNA03492.1"	12200.4	6678.2	13612.25	NA	NA	1.03777422114902	NA	NA	0.00646826939701006
"PdomMRNA05092.11"	883.2	734.8	1356	NA	NA	0.93350505586819	NA	NA	0.00661564310249622
"PdomMRNA04779.1"	8306	3898	9220	NA	NA	1.19034238946026	NA	NA	0.0107854110339844
"PdomMRNA07707.1"	1329.2	657	1419.75	NA	NA	1.04047002710275	NA	NA	0.0141295013306314
"PdomMRNA05332.1"	11612.2	3445	10752.5	NA	NA	1.7685028747755	NA	NA	0.0144845470566454
"PdomMRNA07271.1"	365.8	358.2	197	NA	NA	-1.1262958470668	NA	NA	0.0198997513027887
"PdomMRNA09132.1"	338.2	158	343	NA	NA	1.19549467971563	NA	NA	0.0221508484594115
"PdomMRNA03338.1"	1111.4	405.2	1124.25	NA	NA	1.27978960701433	NA	NA	0.0238130558745658
"PdomMRNA01898.1"	9919.6	4114.6	8342.75	NA	NA	1.23097776798251	NA	NA	0.0266929870537758
"PdomMRNA04381.1"	62199.2	23232.2	58819.75	NA	NA	1.36907247177118	NA	NA	0.0302747879969346
"PdomMRNA09345.1"	955.2	555.4	1147	NA	NA	1.46239065420306	NA	NA	0.0342803778558024
"PdomMRNA05605.1"	70.6	38.6	112.25	NA	NA	1.76706249648836	NA	NA	0.0365198240700232
"PdomMRNA10170.1"	107.6	37.2	193.5	NA	NA	2.76626623025985	NA	NA	0.0388713304070353
"PdomMRNA07551.1"	354.6	206.8	548.75	NA	NA	1.5036102952757	NA	NA	0.0457407739331167
